rating,content,userName,at,reviewCreatedVersion
2,слушал одну книгу даже скачал ее но вдруг исчезло как это понимать?,Agasapar Rahmanovic,2026-06-19 20:25:34,
4,нет нумерации треков.,Александр Успенский,2026-06-19 20:21:02,
4,разрешите пожалуйста выбрать оформление главной страницы (по старому или новую образцу) 🛐😭,Аня Сухарева,2026-06-19 20:10:02,2026.06.2 #151.1gpr
1,кал не скачивайте,Артём Попов,2026-06-19 20:06:06,2026.06.2 #151.1gpr
1,"Треки ставятся на паузу в любой ситуации. Нажал на другой трек в поиске - он включился, и в тот же момент поставился на паузу. Захотел переслушать какой-то момент в песне - нажал на бегунок с таймингом - трек перемотался, но опять поставился на паузу. Отдельно стоит выделить новую визуальную составляющую главной страницы, что это за рвотные массы единорога? Я понимаю что целевая аудитория это дети-молодежь с расстройствами психики и внимания, но добавьте настройки интерфейса для пользователей!",TheFlaps25,2026-06-19 19:47:09,2026.06.2 #151.1gpr
5,"обожаю это приложение, спасибо разработчикам",Svetlana Boychenko,2026-06-19 19:43:52,2026.06.2 #151.1gpr
5,🤩,Галина Некрасова,2026-06-19 19:39:26,2026.06.1 #150gpr
5,"Все устраивает. Думаю следует сделать эквалайзер более широкополосным 5 полос в наше время для музыки не хватает. Пропадает бегунок регулятора громкости звука с приложения на колонку (макс), кнопками телефона потише или громче уже не сделаешь. Переустанавливаешь приложение вновь появляется, затем пропадает. Думаю баг какой то. Телефон андроид.",Deltafat,2026-06-19 19:35:45,2026.06.2 #151.1gpr
1,"И добавить нечего. Так еще стала музыка включаться сама по себе, когда не просят. Переустановка не помогает.",Марина Тобиас,2026-06-19 19:27:27,2024.10.4 #70gpr
5,всёхорошо как говорится обстновка по кайфу,Александр Трусов,2026-06-19 19:26:24,2026.06.1 #150gpr
5,❤️❤️❤️❤️,Айдос Кокымбай,2026-06-19 19:14:52,2026.06.1 #150gpr
3,"все было отлично до обновления 11.06.26. теперь не синхронизируется со смарт ТВ. выход и вход выполняла, к ТВ приложение подключается, но когда нажимаешь кнопку воспроизведения и 'вывести на экран', пишет 'убедитесь, что устройство включено'. а оно включено. в привязанных устройствах были и телефон, и ТВ, отвязала, чтобы заново привязать - не привязывается.",Ilona Kh,2026-06-19 19:04:46,2026.06.2 #151.1gpr
1,"1. Плохая подборка треков в моей волне. Очень скудное разнообразие новых композиций. Если алгоритм увидел, что тебе нравится какой-то стиль, то будет предлагать его до упора. Даже в режиме ""Незнакомые"" они предлагают одну и ту же стилистику. Можно же добавить какой-то режим ""Новые открытия"" с предложением композиций из разных жанров и стилей. 2. Годами собирал плейлисты, как только закончилась подписка доступ к своей коллекции закрываеся, позволить слушать 1000 треков это дорого для компании?",Lamazi Khar,2026-06-19 18:46:55,2026.06.2 #151.1gpr
1,"зависает как не знаю что, раздел ""скачанное"" открываться даже не планирует, треки удаляются по 2 минуты. и кстати нет ни одной песни Майкла Джексона в оригинале. только записи концертов. спасибо за ничего",Лиза Корнеева,2026-06-19 18:25:56,2026.06.2 #151.1gpr
2,"Если я захожу в приложение, это не значит, что надо автоматически врубать музыку. Как же вы надоели со своими ""улучшениями""... Лучше бы наладили добавление треков в плейлист, приходится это делать по пять раз с одной и той же песней.",Calen Dula,2026-06-19 18:12:31,2026.06.2 #151.1gpr
1,"Крашит при запуске, кэш почистил не помогло, вышел с бэтатеста тоже не помогло",Helfi,2026-06-19 18:04:36,2026.06.3 #152gpr
4,норм приложение но цензура бесит,vefre0f,2026-06-19 17:34:25,
1,"отвратительное приложение после обновления стало. на магнитоле открывается и сразу закрывается. вылетает и вылетает... получается слушать только скачанное... мою волну не получается слушать, вылетает приложение.",Sergey Wolf,2026-06-19 17:29:54,2026.06.2 #151.1gpr
2,"все устраивает, со всем можно смерится (даже с дизайном новым), но оценка не поменяется пока не увижу в настройках убрать музыку ИИ.",Ekawa,2026-06-19 17:26:05,2026.06.2 #151.1gpr
5,круто 🎀🌺💝🥰,Скурыгина Арина,2026-06-19 17:06:28,2026.06.2 #151.1gpr
2,"Ужасно неинтуитивный дизайн, непонятно для чего что и зачем с тех пор, как появились книги, концерты зачем-то, на которые я не хожу и собираюсь. Неудобно. ""Что послушать"" неуютная страница, в ней находиться не хочется, а Моя волна тёмная и слишком давящая.",Alsu Xitaychin,2026-06-19 16:44:54,2026.06.1 #150gpr
1,Платно. Лучше в телеграме или на мп3 плеере. без подписки одну конкретную песню просто не послушаешь,Рома,2026-06-19 16:40:33,
4,"я обожаю Яндекс в принципе из-за удобства и доступа. минусы для себя я выписала такие: •отсюда нельзя скачать музыку •платить денюжку не очень хочется, но оплачивать еще можно, до тех пор пока цены не станут заоблачные •забыла что еще хотела •на самом деле мало музыки из-за бана, да и просто потому что не добавляют, даже какие-то адекватные могут просто удалить ""этот трек недоступен"" без какого либо объяснения в остальном все нормально, жить можно. на этом все. (╯°□°)╯︵ ┻━┻",Ил Ку,2026-06-19 16:36:14,2026.06.1 #150gpr
